title,title_normalized,colonfix,single_resource,ignore,checked,multiple_resource,url,id
Open Access Journal: Résumés d'archéologie suisse: époque romaine,open access journal: résumés darchéologie suisse: époque romaine,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/open-access-journal-resumes.html,"tag:blogger.com,1999:blog-116259103207720939.post-5464757210282307460"
Mathematics and Mathematical Astronomy,mathematics and mathematical astronomy,,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/mathematics-and-mathematical-astronomy.html,"tag:blogger.com,1999:blog-116259103207720939.post-2179302832803591987"
A New Open Access Publisher: Edition Topoi,a new open access publisher: edition topoi,a new open access publisher,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/a-new-open-access-publisher-edition.html,"tag:blogger.com,1999:blog-116259103207720939.post-4550966537270997713"
Partially Open Access Journal: Materiale şi Cercetări Arheologice,partially open access journal: materiale şi cercetări arheologice,partially open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2012/01/partially-open-access-journal-materiale.html,"tag:blogger.com,1999:blog-116259103207720939.post-704103970911126943"
Open Access Journal: LANX. Rivista della Scuola di Specializzazione in Archeologia,open access journal: lanx rivista della scuola di specializzazione in archeologia,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2010/01/open-acces-journbal-lanx.html,"tag:blogger.com,1999:blog-116259103207720939.post-3740961503201129598"
Open Access Journal: Bible Lands E-Review (BLER),open access journal: bible lands ereview bler,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2012/05/new-open-access-journal-bible-lands-e.html,"tag:blogger.com,1999:blog-116259103207720939.post-3405899361148781709"
CAMENA - Lateinische Texte der Frühen Neuzeit,camena lateinische texte der frühen neuzeit,,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/camena-lateinische-texte-der-fruhen.html,"tag:blogger.com,1999:blog-116259103207720939.post-1735995788461503708"
Open Access Journal: The Ancient Near East Today,open access journal: the ancient near east today,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/04/new-open-access-journal-ancient-near.html,"tag:blogger.com,1999:blog-116259103207720939.post-8915306131771900526"
Poeti d'Italia in lingua latina tra medioevo e rinascimento,poeti ditalia in lingua latina tra medioevo e rinascimento,,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/poeti-ditalia-in-lingua-latina-tra.html,"tag:blogger.com,1999:blog-116259103207720939.post-5343622234859433932"
Open Access Journal: Online Archaeology (National Agency for Cultural Heritage Preservation of Georgia),open access journal: online archaeology national agency for cultural heritage preservation of georgia,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/open-access-journal-online-archaeology.html,"tag:blogger.com,1999:blog-116259103207720939.post-3049974188500661631"
CSAI: Corpus of South Arabian Inscriptions,csai: corpus of south arabian inscriptions,csai,true,false,true,false,http://ancientworldonline.blogspot.com/2010/10/open-access-corpus-of-south-arabian.html,"tag:blogger.com,1999:blog-116259103207720939.post-915482671060200854"
Just Announced: Getty Publications Virtual Library,just announced: getty publications virtual library,just announced,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/just-announced-getty-publications.html,"tag:blogger.com,1999:blog-116259103207720939.post-1697581904695761075"
Big list backup,big list backup,,false,true,true,false,,"tag:blogger.com,1999:blog-116259103207720939.post-2559271063835628732"
New Open Access Journal: Antesteria. Debates de Historia Antigua,new open access journal: antesteria debates de historia antigua,new open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/new-open-access-journal-antesteria.html,"tag:blogger.com,1999:blog-116259103207720939.post-204988945209195387"
Open Access Books from the Library of the Maison de l’Orient et de la Méditerranée - Lyon,open access books from the library of the maison de lorient et de la méditerranée lyon,,false,false,true,true,http://ancientworldonline.blogspot.com/2009/07/open-access-books-from-bibliotheque.html,"tag:blogger.com,1999:blog-116259103207720939.post-8290828931968306121"
Consortium of Hellenic Studies Librarians,consortium of hellenic studies librarians,,false,false,false,false,http://ancientworldonline.blogspot.com/2012/08/consortium-of-hellenic-studies.html,"tag:blogger.com,1999:blog-116259103207720939.post-4344060075983673501"
Open Access Journal: SAGVNTVM Extra. Papeles del Laboratorio de Arqueología de Valencia - Extra,open access journal: sagvntvm extra papeles del laboratorio de arqueología de valencia extra,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2012/06/open-access-journal-sagvntvm-papeles.html,"tag:blogger.com,1999:blog-116259103207720939.post-6520074801902136306"
Open Access Journal: SAGVNTVM. Papeles del Laboratorio de Arqueología de Valencia,open access journal: sagvntvm papeles del laboratorio de arqueología de valencia,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2012/06/open-access-journal-sagvntvm-papeles_10.html,"tag:blogger.com,1999:blog-116259103207720939.post-6540777071243966139"
Newly Open Access Journal: Studia Oliveriana,newly open access journal: studia oliveriana,newly open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/newly-open-access-journal-studia.html,"tag:blogger.com,1999:blog-116259103207720939.post-144996326612122831"
Aegaeum Online,aegaeum online,,false,false,false,false,http://ancientworldonline.blogspot.com/2009/12/aegaeum-online.html,"tag:blogger.com,1999:blog-116259103207720939.post-3040627021308022251"
Open Access Collection: Tyndale Press Monographs,open access collection: tyndale press monographs,open access collection,false,false,false,false,http://ancientworldonline.blogspot.com/2009/11/open-access-collection-tyndale-press.html,"tag:blogger.com,1999:blog-116259103207720939.post-7055904373224644464"
Biblical Studies Online,biblical studies online,,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/biblical-studies-online.html,"tag:blogger.com,1999:blog-116259103207720939.post-6565990327436124312"
Open Access Journal: The Silk Road,open access journal: the silk road,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2009/12/open-access-journal-silk-road.html,"tag:blogger.com,1999:blog-116259103207720939.post-2417975283812750345"
Open Access Journal: Classics@,open access journal: classics,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2011/08/open-access-journal-classics.html,"tag:blogger.com,1999:blog-116259103207720939.post-2017436921866171983"
Oxford Expedition To Egypt: Scene-details Database,oxford expedition to egypt: scenedetails database,oxford expedition to egypt,true,false,true,false,http://ancientworldonline.blogspot.com/2010/11/oxford-expedition-to-egypt-scene.html,"tag:blogger.com,1999:blog-116259103207720939.post-4433965782378490731"
Theoi Greek Mythology: Eploring Mythology in Classical Literature & Art,theoi greek mythology: eploring mythology in classical literature art,theoi greek mythology,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/theoi-greek-mythology-eploring.html,"tag:blogger.com,1999:blog-116259103207720939.post-5651356934693647674"
Online Informationsblatt der deutschsprachigen Ägyptologie,online informationsblatt der deutschsprachigen ägyptologie,,false,false,false,false,http://ancientworldonline.blogspot.com/2010/11/newly-online-informationsblatt-der.html,"tag:blogger.com,1999:blog-116259103207720939.post-1425758639906087169"
Open Access Journal: Theologica Xaveriana,open access journal: theologica xaveriana,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/open-access-journal-theologica-xaveriana.html,"tag:blogger.com,1999:blog-116259103207720939.post-8849127904874391078"
Roundup of Resources on Ancient Geography,roundup of resources on ancient geography,,false,false,true,true,http://ancientworldonline.blogspot.com/2012/09/roundup-of-resources-on-ancient.html,"tag:blogger.com,1999:blog-116259103207720939.post-2598610213512391524"
Online: University of Pennsylvania Museum of Archaeology and Anthropology publications with digital supplementary material,online: university of pennsylvania museum of archaeology and anthropology publications with digital supplementary material,online,false,false,true,true,http://ancientworldonline.blogspot.com/2014/01/online-university-of-pennsylvania.html,"tag:blogger.com,1999:blog-116259103207720939.post-1714454438836337924"
ePSD: The Pennsylvania Sumerian Dictionary,epsd: the pennsylvania sumerian dictionary,epsd,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/epsd-pennsylvania-sumerian-dictionary.html,"tag:blogger.com,1999:blog-116259103207720939.post-8479299857201825874"
Open Access Journal: Oriental Institute Annual Report,open access journal: oriental institute annual report,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2012/06/open-access-journal-oriental-institute.html,"tag:blogger.com,1999:blog-116259103207720939.post-3730738990314003502"
Open Access Publications of the Center for Hellenic Studies,open access publications of the center for hellenic studies,,false,false,true,true,http://ancientworldonline.blogspot.com/2010/09/open-access-publications-of-center-for.html,"tag:blogger.com,1999:blog-116259103207720939.post-7662005039347610859"
"Nautical Archaeology Program, Texas A and M University: Alumni Theses and Dissertations Online",nautical archaeology program texas a and m university: alumni theses and dissertations online,nautical archaeology program texas a and m university,false,false,false,false,http://ancientworldonline.blogspot.com/2009/10/institute-of-nautical-archaeology-texas.html,"tag:blogger.com,1999:blog-116259103207720939.post-5704706954201444757"
Open Access Journal: Studia graeco-arabica,open access journal: studia graecoarabica,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2011/04/new-open-access-journal-studia-graeco.html,"tag:blogger.com,1999:blog-116259103207720939.post-819832869923324809"
Online Arabic and Latin Glossary,online arabic and latin glossary,,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/online-arabic-and-latin-glossary.html,"tag:blogger.com,1999:blog-116259103207720939.post-6886285651197536730"
Open Access Journal: Archeomatica,open access journal: archeomatica,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2010/01/new-open-access-journal-archeomatica.html,"tag:blogger.com,1999:blog-116259103207720939.post-1394528119494159540"
Tübinger Atlas des Vorderen Orients (TAVO) Placenames in Pleiades,tübinger atlas des vorderen orients tavo placenames in pleiades,,false,true,true,false,http://ancientworldonline.blogspot.com/2014/01/tubinger-atlas-des-vorderen-orients.html,"tag:blogger.com,1999:blog-116259103207720939.post-7989637793658217298"
Non-Professional Archaeological Photographs-project,nonprofessional archaeological photographsproject,,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/non-professional-archaeological.html,"tag:blogger.com,1999:blog-116259103207720939.post-4164180518743714578"
Open Access Journal: NGSBA Archaeology (The Nelson Glueck School of Biblical Archaeology),open access journal: ngsba archaeology the nelson glueck school of biblical archaeology,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/10/new-open-access-journal-ngsba.html,"tag:blogger.com,1999:blog-116259103207720939.post-7914120360830977837"
Open Access Journal: Newsletter of the American Philological Association,open access journal: newsletter of the american philological association,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2009/08/open-access-journals-newsletter-of.html,"tag:blogger.com,1999:blog-116259103207720939.post-6579386830284068459"
Open Access Journal: Les Mélanges de l’École française de Rome – Antiquité (MEFRA) [current],open access journal: les mélanges de lécole française de rome – antiquité mefra current,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2012/12/newly-open-access-journal-les-melanges.html,"tag:blogger.com,1999:blog-116259103207720939.post-3267924207388048367"
Open Access Journal: Epistula: Roman Society e-News,open access journal: epistula: roman society enews,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2012/07/open-access-journal-epistula.html,"tag:blogger.com,1999:blog-116259103207720939.post-101709399280081635"
Le palmier dattier: Origine et culture en Égypte et au Moyen-Orient -- The Date Palm : Origin and Cultivation in the Middle East and in Egypt,le palmier dattier: origine et culture en égypte et au moyenorient the date palm : origin and cultivation in the middle east and in egypt,le palmier dattier,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/le-palmier-dattier-origine-et-culture.html,"tag:blogger.com,1999:blog-116259103207720939.post-8566935052145837920"
Online Exhibition: A Truthful Record: The Byzantine Institute Films,online exhibition: a truthful record: the byzantine institute films,online exhibition,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/online-exhibition-truthful-record.html,"tag:blogger.com,1999:blog-116259103207720939.post-8188062821183502425"
Ancient Near Eastern Languages.com,ancient near eastern languagescom,,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/ancient-near-eastern-languagescom.html,"tag:blogger.com,1999:blog-116259103207720939.post-2025226708098554772"
Early Christian Writings,early christian writings,,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/early-christian-writings.html,"tag:blogger.com,1999:blog-116259103207720939.post-1547433003038536656"
Open Access Journal: Çatalhöyük Archive Report,open access journal: çatalhöyük archive report,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2010/01/open-access-journal-catalhoyuk-archive.html,"tag:blogger.com,1999:blog-116259103207720939.post-8427336871079632182"
Open Access Journal: Mare Nostrum,open access journal: mare nostrum,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2012/04/open-access-journal-mare-nostrum.html,"tag:blogger.com,1999:blog-116259103207720939.post-2511790614469402249"
Open Access Archaeology Books from Cairn,open access archaeology books from cairn,,false,false,true,true,http://ancientworldonline.blogspot.com/2014/01/open-access-archaeology-books-from-cairn.html,"tag:blogger.com,1999:blog-116259103207720939.post-6730820566622516105"
NOMOI: Bibliography on Ancient Greek Law,nomoi: bibliography on ancient greek law,nomoi,false,false,false,false,http://ancientworldonline.blogspot.com/2012/03/nomoi-bibliography-on-ancient-greek-law.html,"tag:blogger.com,1999:blog-116259103207720939.post-1055270708445496817"
(Partially) Open Access Journal: Revue d'assyriologie et d'archéologie orientale,partially open access journal: revue dassyriologie et darchéologie orientale,partially open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2009/08/open-access-journal-revue-dassyriologie.html,"tag:blogger.com,1999:blog-116259103207720939.post-5662255434850687714"
New Open Access Journal: Journal of GIS in Archaeology,new open access journal: journal of gis in archaeology,new open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/new-open-access-journal-journal-of-gis.html,"tag:blogger.com,1999:blog-116259103207720939.post-8079467420592374041"
Open Access Journal: e-δialogos: Annual digital journal on research in Conservation and Cultural Heritage,open access journal: eδialogos: annual digital journal on research in conservation and cultural heritage,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/open-access-journal-e-ialogos-annual.html,"tag:blogger.com,1999:blog-116259103207720939.post-3653173498665999396"
PECL: Prototype d'Encyclopédie Céramologique en Ligne,pecl: prototype dencyclopédie céramologique en ligne,pecl,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/pecl-prototype-dencyclopedie.html,"tag:blogger.com,1999:blog-116259103207720939.post-6583102736372631123"
Online Critical Pseudepigrapha,online critical pseudepigrapha,,false,false,false,false,http://ancientworldonline.blogspot.com/2010/11/pseudepigrapha-online.html,"tag:blogger.com,1999:blog-116259103207720939.post-5682322091095297815"
Open Access Journal: Etudes massaliètes,open access journal: etudes massaliètes,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2011/07/open-access-journal-etudes-massalietes.html,"tag:blogger.com,1999:blog-116259103207720939.post-2668002532828441034"
Centre Alexandrin d'Étude des Amphores,centre alexandrin détude des amphores,,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/centre-alexandrin-detude-des-amphores.html,"tag:blogger.com,1999:blog-116259103207720939.post-8390080228729163098"
Centre d'Études Alexandrine Studies,centre détudes alexandrine studies,,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/centre-detudes-alexandrine-studies.html,"tag:blogger.com,1999:blog-116259103207720939.post-7405645711848445487"
Early volumes of Bibliotheca Aegyptiaca online,early volumes of bibliotheca aegyptiaca online,,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/early-volumes-of-bibliotheca-aegyptiaca.html,"tag:blogger.com,1999:blog-116259103207720939.post-2980508746625460755"
Open Access Catalogue général des antiquités égyptiennes du Musée du Caire,open access catalogue général des antiquités égyptiennes du musée du caire,,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/open.html,"tag:blogger.com,1999:blog-116259103207720939.post-2258693104632971426"
Catalogue Online: Kinku. Seals of the Bronze Age from the Region of Gaziantep in Turkey,catalogue online: kinku seals of the bronze age from the region of gaziantep in turkey,catalogue online,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/catalogue-online-kinku-seals-of-bronze.html,"tag:blogger.com,1999:blog-116259103207720939.post-6253188514259978195"
Gaziantep Regional Project Occasional Publications (GRPOP) Online,gaziantep regional project occasional publications grpop online,,false,false,true,true,http://ancientworldonline.blogspot.com/2014/01/gaziantep-regional-project-occasional.html,"tag:blogger.com,1999:blog-116259103207720939.post-7208879068318509883"
Open Access Journal: Revue des études byzantines,open access journal: revue des études byzantines,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2010/12/open-access-journal-revue-des-etudes.html,"tag:blogger.com,1999:blog-116259103207720939.post-400797245010802167"
Open Access Journal: Symbolae Philologorum Posnaniensium,open access journal: symbolae philologorum posnaniensium,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/open-access-journal-symbolae.html,"tag:blogger.com,1999:blog-116259103207720939.post-5793808874041565478"
Arabia Felix,arabia felix,,false,false,false,false,http://ancientworldonline.blogspot.com/2014/01/arabia-felix.html,"tag:blogger.com,1999:blog-116259103207720939.post-197296608351865230"
Open Access (OOP) Publications of the Nederlands Instituut voor het Nabije Oosten - Netherlands Institute for the Near East,open access oop publications of the nederlands instituut voor het nabije oosten netherlands institute for the near east,,false,false,true,true,http://ancientworldonline.blogspot.com/2014/01/open-access-oop-publications-of.html,"tag:blogger.com,1999:blog-116259103207720939.post-5703417692913893620"
Archaeological Survey of Israel Online,archaeological survey of israel online,,true,false,true,false,http://ancientworldonline.blogspot.com/2013/02/online-archaeological-survey-of-israel.html,"tag:blogger.com,1999:blog-116259103207720939.post-1817654110906253879"
Newly Open Access Journal: Folia Orientalia,newly open access journal: folia orientalia,newly open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/newly-open-access-journal-folia.html,"tag:blogger.com,1999:blog-116259103207720939.post-2023609116964516143"
Open Access Journal: Collectanea Philologica,open access journal: collectanea philologica,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/open-access-journal-collectanea.html,"tag:blogger.com,1999:blog-116259103207720939.post-1736271107995040679"
Open Access Journal: Nuntius,open access journal: nuntius,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/open-access-journal-nuntius.html,"tag:blogger.com,1999:blog-116259103207720939.post-1909321759332139434"
New Open Access Journal: Tycho. Revista de iniciación en la investigación del teatro clásico y grecolatino y su tradición,new open access journal: tycho revista de iniciación en la investigación del teatro clásico y grecolatino y su tradición,new open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/new-open-access-jurnal-tycho-revista-de.html,"tag:blogger.com,1999:blog-116259103207720939.post-1176828344064622021"
New Open Access Journal: Rónai. Revista de estudos clássicos e tradutórios,new open access journal: rónai revista de estudos clássicos e tradutórios,new open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/new-open-access-journal-ronai-revista.html,"tag:blogger.com,1999:blog-116259103207720939.post-7268992755026503711"
Open Access Journal: Graeco-Latina Brunensia,open access journal: graecolatina brunensia,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/open-access-journal-graeco-latina.html,"tag:blogger.com,1999:blog-116259103207720939.post-2795895368727645047"
Digital Epigraphy and Archaeology Project,digital epigraphy and archaeology project,,true,false,true,false,http://ancientworldonline.blogspot.com/2014/01/digital-epigraphy-and-archaeology.html,"tag:blogger.com,1999:blog-116259103207720939.post-5750053138839212664"
Ostia: Harbour City of Ancient Rome,ostia: harbour city of ancient rome,ostia,false,false,false,false,http://ancientworldonline.blogspot.com/2012/11/ostia-harbour-city-of-ancient-rome.html,"tag:blogger.com,1999:blog-116259103207720939.post-1874165422807938344"
